Name,Source,Region,Phone,Description,Location,Working_Hours,Latitude,Longitude,Scraped_Date,Beds,Staff_Count
Abdel Kader Fahmy Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.13854879,31.27928658,12/5/2025,240,261
Adam International Hospital (IVF&ICSI),Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,29.98085827,31.46309482,12/5/2025,240,261
"Ain Shams Specialized Hospital, Abbasia",Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.3389422,31.07003097,12/5/2025,240,261
Ain Shams University Hospital (El Demerdash),Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.22725172,31.4634943,12/5/2025,240,261
Al Salam Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.07555681,31.1634293,12/5/2025,240,261
Alzahra Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.36136754,31.46834641,12/5/2025,240,261
As Salam International Hospital of Alameda Health Care,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.49355993,31.29399195,12/5/2025,240,261
Amoun Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.15996675,31.40371488,12/5/2025,240,261
Asyout University Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,29.94182265,31.46120185,12/5/2025,240,261
"Behman Hospital, Maddi",Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.26585314,31.33946091,12/5/2025,240,261
"Cleopatra Hospital, Heliopolis",Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.47007614,31.23437702,12/5/2025,240,261
Coptic Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.47160671,31.12395571,12/5/2025,240,261
Dar Al Fouad Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.40357278,31.32130057,12/5/2025,240,261
"Dar el Hekma Hospital, Nasr City",Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.16197817,31.42238295,12/5/2025,240,261
Dar el Salam General Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.09549462,31.16835887,12/5/2025,240,261
Dar el Oyoun Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.36222168,31.36739153,12/5/2025,240,261
Dar El Shefa Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.05717883,31.44077709,12/5/2025,240,261
Demerdash Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.4099512,31.46495104,12/5/2025,240,261
El Borg Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.29000488,3129508,12/5/2025,240,261
El Fayrouz Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.27732771,31.4750452,12/5/2025,240,261
El Ganzouri Specialized Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.04634993,31.12105951,12/5/2025,240,261
El Galaa Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,29.99529731,31.43474357,12/5/2025,240,261
El Gomhoureyaa Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,29.94533196,31.19288486,12/5/2025,240,261
El Kablat Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.25644016,31.42972392,12/5/2025,240,261
El Kateb,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.18410752,31.15585179,12/5/2025,240,261
El Madina Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.31492742,31.18900025,12/5/2025,240,261
El Merghany Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.25313461,31.05947229,12/5/2025,240,261
El Mobarra Maadi Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.3052772,31.13370595,12/5/2025,240,261
El Monera General Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.26166903,31.45815175,12/5/2025,240,261
El Nada Maternity Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.28736329,31.04604265,12/5/2025,240,261
"El Nozha International Hospital, Heliopolis",Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.48989441,31.04448451,12/5/2025,240,261
El Salam Hospital El Haram,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.46752718,31.14643017,12/5/2025,240,261
El Safa Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.05687148,31.47766768,12/5/2025,240,261
El Shoruk Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.18541119,31.27381609,12/5/2025,240,261
El Tawfiaiia Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.18790497,31.41266251,12/5/2025,240,261
Ebtihag Shafik Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.23098491,31.27412977,12/5/2025,240,261
Gohar Hospital & Women's Health Clinic,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.29185003,31.39581599,12/5/2025,240,261
Garden City Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.45100187,31.31583037,12/5/2025,240,261
Hassabo International Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.08576095,31.19158741,12/5/2025,240,261
Hussein University Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.30420589,31.11820941,12/5/2025,240,261
"Ibn Sina Hospital (Egypt), Dokki",Wikipedia,Giza,N/A,General Hospital,Greater Cairo Region,24/7,29.99920696,31.12778346,12/5/2025,240,261
Italian Hospital Cairo,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.25247839,31.27586849,12/5/2025,240,261
Greek Hospital Cairo,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,29.95820822,31.24321156,12/5/2025,240,261
Kasralainy Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.4684988,31.09878135,12/5/2025,240,261
Misr El Amal Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.44345801,31.46603649,12/5/2025,240,261
Nasser General Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.049775,31.40855578,12/5/2025,240,261
New Kasr El Aini Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.29525755,31.15922802,12/5/2025,240,261
New Cairo Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.14714202,31.21770996,12/5/2025,240,261
Nile Badrawi Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,29.9972153,31.45581415,12/5/2025,240,261
October 6 University (O6U) Hospital,Wikipedia,Cairo,N/A,General Hospital,Greater Cairo Region,24/7,30.11869354,31.26975936,12/5/2025,240,261
